"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","INTENSITY","Intensity","EDUCATION_LEV","Education level","UNIT_MEASURE","Unit","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",254,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",16375,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",18724,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",83232,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",78900,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",71670,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",92948,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",94254,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",301888,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",272644,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",204278,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",26948,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",77459,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",23603,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",20844,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",175,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",152,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",140,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",5688,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",5658,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",159659,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",154621,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",99813,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",856392,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",882219,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",879486,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",897962,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",904753,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",922929,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",935600,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",56,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",82,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",14850,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",14648,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",13847,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",644736,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",659050,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",655031,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",669305,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",671546,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",685619,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",694122,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",12,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",4,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",11525,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",11378,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",10575,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",32088,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",32538,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",36963,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",41893,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",40616,,
